date,likes,comments
1/26/2009,3,3
11/13/2009,3,3
5/8/2010,2,1
9/30/2010,7,1
11/4/2010,1,0
3/30/2011,2,2
6/7/2011,2,2
7/5/2011,1,28
7/27/2011,2,1
8/27/2011,2,4
10/29/2011,6,2
12/13/2011,8,2
1/10/2012,11,2
5/18/2012,5,2
6/10/2012,30,15
6/22/2012,18,3
7/14/2012,9,2
9/3/2012,24,7
5/17/2013,15,1
5/19/2013,37,3
6/6/2013,25,4
6/21/2013,8,1
7/7/2013,19,4
8/2/2013,14,0
8/7/2013,7,1
8/14/2013,13,1
9/5/2013,18,3
10/27/2013,31,3
12/4/2013,40,6
12/31/2013,37,4
2/1/2014,62,8
3/7/2014,45,12
3/28/2014,62,8
6/10/2014,22,2
7/1/2014,46,6
7/9/2014,36,8
8/15/2014,32,5
8/27/2014,30,2
10/17/2014,71,17
11/21/2014,36,4
3/6/2015,60,11
5/22/2015,37,3
5/25/2015,43,0
6/23/2015,50,5
10/24/2015,41,0
11/12/2015,45,5
01/2013/2016,34,3
3/5/2016,94,5
4/27/2016,5,1
5/15/2016,80,2
6/9/2016,96,11
8/23/2016,88,3
10/13/2016,111,6
10/29/2016,93,10
12/2/2016,39,0
12/18/2016,48,2
1/8/2017,60,2
3/4/2017,68,5
4/9/2017,76,1
8/11/2017,69,1
10/8/2017,47,5
11/9/2017,32,0
11/11/2017,16,0
1/4/2018,38,2
1/26/2018,2,1
3/12/2018,69,2
5/14/2018,88,7
7/23/2018,57,3
9/3/2018,41,1
12/6/2018,100,4
12/24/2018,39,0
